obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
146, 148.7, 9440, 1539, 25286, 572683, 208720, 4936279, 505, 576946, 80, 36, NA, 6331398,  X
147, 149.7, 2321, 820986, 44034, 89981, 807687, 605844, 36066, 553676, 16, 50, NA, 2960595,  X
148, 150.7, 11432, 142126, 3078, 602498, 157378, 249900, 69912, 84140, 71, 88, NA, 1320464,  X
149, 151.7, 3662, 191319, 250242, 418173, 53213, 27803, 81804, 58430, 87, 72, NA, 1084646,  X
150, 152.7, 297329, 379823, 1594, 19183, 29063, 16128, 167678, 3403, 20, 64, NA, 914201,  X
151, 153.7, 18124, 420135, 404045, 195275, 304194, 560083, 59327, 1001604, 16, 82, NA, 2962787,  X
152, 154.8, 241973, 288394, 37195, 234089, 94706, 4750, 119485, 1858689, 98, 29, NA, 2879281,  X
153, 155.8, 84363, 225520, 2721, 38624, 462458, 36672, 1733758, 136835, 12, 80, NA, 2720951,  X
154, 156.8, 851351, 12145, 473124, 148677, 91279, 63170, 224528, 477942, 57, 72, NA, 2342216,  X
155, 157.8, 784565, 295581, 901364, 281427, 10408, 400697, 22243, 741840, 98, 23, NA, 3438125,  X
156, 158.8, 1368551, 24625, 5253, 100117, 180, 1368148, 1040126, 1451, 84, 43, NA, 3908451,  X
157, 159.8, 267294, 7332, 33931, 83187, 38108, 76903, 27437, 225739, 73, 78, NA, 759931,  X
158, 160.8, 489770, 86706, 698221, 31245, 703145, 390327, 2298221, 150582, 91, 59, NA, 4848217,  X
159, 161.8, 91595, 21189, 409000, 253438, 22564, 760, 125, 222059, 7, 59, NA, 1020730,  X
160, 162.9, 19774, 338428, 190679, 157800, 224445, 226882, 258039, 45194, 49, 12, NA, 1461241,  X
161, 163.9, 2514, 16754, 178618, 369546, 888427, 205432, 178185, 21120, 18, 96, NA, 1860596,  X
162, 164.9, 87964, 4390, 24623, 562880, 153906, 9340, 46, 125976, 47, 4, NA, 969125,  X
163, 165.9, 206078, 510043, 2491, 267949, 284914, 152939, 160489, 287600, 82, 94, NA, 1872503,  X
164, 166.9, 762430, 36588, 116936, 13305, 85828, 470121, 63308, 598234, 42, 34, NA, 2146750,  X
165, 167.9, 45501, 4735, 53358, 32504, 69303, 338837, 226063, 51615, 24, 64, NA, 821916,  X
