obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
182, 185.1, 9013, 167955, 379226, 81869, 278819, 112443, 52791, 202373, 13, 2, NA, 1284489,  a
183, 186.1, 132804, 455297, 64280, 109771, 807, 390539, 1181914, 22674, 27, 65, NA, 2358086,  a
184, 187.1, 1003, 4507, 37387, 175177, 217435, 224408, 99833, 639037, 38, 63, NA, 1398787,  a
185, 188.1, 2775, 62112, 3461, 105266, 64321, 65714, 648768, 13348, 35, 56, NA, 965765,  a
186, 189.2, 748233, 367332, 224221, 5133, 666070, 182631, 433797, 78209, 11, 69, NA, 2705626,  a
187, 190.2, 166497, 1129634, 163074, 526192, 10341, 382427, 156367, 9800, 11, 55, NA, 2544332,  a
188, 191.2, 299586, 49113, 40381, 180699, 235987, 193746, 61767, 71403, 24, 63, NA, 1132682,  a
189, 192.3, 273227, 316910, 7128, 453529, 145475, 175192, 280328, 128331, 94, 49, NA, 1780120,  a
190, 193.3, 27718, 343239, 980570, 343738, 33089, 624446, 856221, 192593, 30, 25, NA, 3401614,  a
191, 194.3, 3831, 419, 8343, 180293, 83700, 55049, 165593, 996889, 63, 67, NA, 1494117,  a
192, 195.4, 479845, 198851, 85571, 596397, 9498, 824991, 144744, 1011, 39, 88, NA, 2340908,  a
193, 196.4, 101312, 207801, 211832, 9004, 9819, 9066, 4273, 47587, 5, 96, NA, 600694,  a
194, 197.4, 301723, 668892, 23763, 1770158, 137362, 39600, 673846, 30317, 36, 34, NA, 3645661,  a
195, 198.5, 1748, 19898, 118578, 50459, 22075, 73108, 203099, 187203, 98, 21, NA, 676168,  a
196, 199.5, 22, 1530623, 93743, 39352, 4448, 201555, 1326884, 176813, 97, 51, NA, 3373440,  a
197, 200.5, 5177, 26078, 2399, 80432, 76515, 1531874, 20771, 934684, 61, 36, NA, 2677930,  a
198, 201.6, 700377, 79482, 29676, 832450, 48672, 83965, 272144, 52439, 34, 76, NA, 2099205,  a
199, 202.6, 83593, 612999, 130019, 126265, 157923, 40237, 55777, 899041, 6, 19, NA, 2105854,  a
200, 203.7, 151448, 53093, 526494, 2009, 945248, 253166, 49931, 28580, 89, 42, NA, 2009969,  a
201, 204.7, 328794, 1300358, 302985, 1219869, 223721, 426024, 65410, 1026611, 50, 69, NA, 4893772,  a
202, 205.7, 1240, 45013, 1424831, 1110, 34714, 775489, 18178, 441876, 94, 19, NA, 2742451,  a
203, 206.8, 993, 93540, 16516, 2881, 84915, 23441, 26367, 263638, 49, 93, NA, 512291,  a
204, 207.8, 366, 68301, 177895, 79738, 312733, 1111976, 28129, 6370, 61, 51, NA, 1785508,  a
205, 208.8, 54627, 658016, 128107, 34959, 21441, 28422, 785852, 474, 29, 93, NA, 1711898,  a
206, 209.9, 570649, 378038, 459957, 19154, 404103, 153905, 67051, 158969, 30, 57, NA, 2211826,  a
207, 210.9, 150130, 174980, 1304005, 22009, 497, 414218, 113897, 890, 60, 38, NA, 2180626,  a
208, 211.9, 968927, 26970, 23541, 86008, 49691, 50832, 14538, 130358, 80, 62, NA, 1350865,  a
209, 213.0, 662639, 64293, 131796, 24443, 606200, 1161594, 634076, 339442, 41, 3, NA, 3624483,  a
210, 214.0, 22690, 94511, 773078, 546825, 22576, 217812, 315165, 444491, 31, 46, NA, 2437148,  a
211, 215.1, 597520, 297932, 60540, 702993, 94578, 4349, 276847, 213746, 44, 13, NA, 2248505,  a
212, 216.1, 4698, 77889, 56, 209747, 101639, 137080, 70, 691087, 83, 75, NA, 1222266,  a
213, 217.1, 492812, 1124318, 56944, 114949, 1498, 607172, 354, 83954, 32, 28, NA, 2482001,  a
214, 218.1, 478202, 212511, 63067, 244375, 19944, 179145, 29730, 138028, 14, 73, NA, 1365002,  a
215, 219.2, 34275, 637623, 223756, 508978, 176730, 352093, 18581, 224468, 17, 56, NA, 2176504,  a
216, 220.2, 524587, 98906, 37466, 610053, 89943, 3524586, 35, 45685, 12, 35, NA, 4931261,  a
217, 221.2, 1327033, 256382, 47058, 269181, 596381, 128581, 738235, 536659, 98, 32, NA, 3899510,  a
218, 222.3, 60537, 532868, 367571, 69388, 91610, 3192, 64841, 192555, 70, 38, NA, 1382562,  a
219, 223.3, 24185, 439812, 802602, 23583, 397015, 307200, 443941, 42555, 24, 36, NA, 2480893,  a
220, 224.3, 27829, 431782, 40173, 46298, 319029, 488302, 30441, 0, 26, 82, NA, 1383854,  a
221, 225.4, 53177, 280328, 264625, 9200, 7122, 206708, 379608, 279540, 41, 85, NA, 1480308,  a
222, 226.4, 67284, 125969, 248366, 273955, 12969, 203056, 82454, 369111, 72, 11, NA, 1383164,  a
223, 227.5, 148572, 895665, 946885, 1441355, 107436, 47123, 632, 260830, 12, 55, NA, 3848498,  a
224, 228.5, 438204, 26991, 167106, 74423, 530872, 662493, 361355, 8, 57, 73, NA, 2261452,  a
225, 229.5, 206159, 12, 43718, 350532, 1029, 88507, 843938, 2552, 27, 44, NA, 1536447,  a
226, 230.6, 343309, 1236874, 8175, 494842, 305358, 18901, 167474, 33776, 52, 45, NA, 2608709,  a
227, 231.6, 641, 72087, 23221, 34969, 168986, 385042, 50265, 323357, 95, 80, NA, 1058568,  a
228, 232.6, 213641, 237542, 1533018, 144771, 467526, 3817, 931636, 124687, 4, 30, NA, 3656638,  a
229, 233.7, 16559, 147708, 5314, 153284, 218084, 58422, 184240, 699320, 11, 74, NA, 1482931,  a
230, 234.7, 259761, 7418, 910427, 83636, 711261, 882190, 215768, 324620, 45, 99, NA, 3395081,  a
231, 235.8, 186289, 81351, 3983, 1316795, 153732, 106331, 26497, 268267, 54, 65, NA, 2143245,  a
232, 236.8, 553156, 13711, 189481, 108, 38707, 96459, 19168, 46642, 66, 99, NA, 957432,  a
233, 237.8, 53590, 279393, 93654, 1217040, 217, 918199, 29049, 701699, 80, 67, NA, 3292841,  a
234, 238.9, 275884, 33662, 541740, 1232042, 2746, 1162466, 11234, 679719, 1, 85, NA, 3939493,  a
235, 239.9, 10382, 9203, 70263, 298852, 72582, 581451, 136345, 267185, 9, 9, NA, 1446263,  a
236, 240.9, 30941, 21840, 53017, 313907, 123, 151808, 45456, 370232, 42, 32, NA, 987324,  a
237, 242.0, 396, 56466, 37337, 113, 17753, 87251, 1083, 81524, 100, 54, NA, 281923,  a
238, 243.0, 708, 164253, 163219, 4779, 136144, 7788, 34483, 310643, 52, 9, NA, 822017,  a
239, 244.0, 464808, 252308, 333419, 151825, 8953, 105254, 468632, 0, 71, 93, NA, 1785199,  a
240, 245.1, 113330, 330734, 276083, 128053, 80718, 230057, 182201, 14162, 94, 35, NA, 1355338,  a
